DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008-1-10-6,2781080,1385,13850,5540,873384.0,889782,1168805.0,1187318,3076669,172859.0,172756.0,139744.0,-3831.0,-4278.0,941676,10159.0,23026.0,0,5,428.0,102.0,4002.0,17.0,79.0
2008-1-10-7,2505984,1248,12480,4992,909483.0,915993,1186826.0,1198166,2525969,170233.0,170388.0,139883.0,-1542.0,-1430.0,966304,8769.0,21644.0,0,4,1455.0,320.0,3648.0,0.0,178.0
2008-1-10-8,2570240,1280,12800,5120,1061872.0,1066636,1340700.0,1346960,2633572,176331.0,177064.0,144741.0,1478.0,1836.0,999245,8661.0,22972.0,0,3,2024.0,1441.0,3271.0,0.0,1032.0
2008-1-10-9,2520040,1255,12550,5020,1165315.0,1166074,1428495.0,1429671,2732931,161700.0,165237.0,132968.0,846.0,4081.0,925197,7709.0,21067.0,0,2,3070.0,599.0,2730.0,69.0,1873.0
2008-1-10-n,684728,341,3410,1364,,437187,,496093,1059558,,36186.0,,,,181301,,,341,0,,,,,
2008-1-11-1,26104,13,143,65,1599.0,9704,6256.0,12239,24196,2077.0,2155.0,1757.0,777.0,855.0,14943,79.0,241.0,0,0,236.0,129.0,17.0,0.0,400.0
2008-1-11-10,2435704,1213,13343,6065,1244494.0,1242508,1510020.0,1509278,2784582,153606.0,154450.0,124462.0,6459.0,6466.0,870898,7266.0,22172.0,0,7,3484.0,712.0,5619.0,25.0,2041.0
2008-1-11-11,2499960,1245,13695,6225,1404019.0,1393059,1654889.0,1650904,2760237,154253.0,156565.0,126593.0,6975.0,9000.0,874569,7576.0,20272.0,0,5,2825.0,917.0,5755.0,0.0,3298.0
2008-1-11-12,2375464,1183,13013,5915,1453636.0,1442978,1715096.0,1703925,2675237,149958.0,151987.0,123499.0,7527.0,9298.0,863422,7915.0,18556.0,0,1,2828.0,648.0,5764.0,0.0,3751.0
2008-1-11-13,2471848,1231,13541,6155,1635995.0,1617448,1916561.0,1899749,2746871,155160.0,156701.0,126221.0,10903.0,12307.0,894347,7891.0,21068.0,0,1,3182.0,1339.0,7007.0,30.0,5129.0
2008-1-11-14,2415624,1203,13233,6015,1721930.0,1697380,1963512.0,1941137,2821948,144702.0,146957.0,117311.0,13655.0,15910.0,811853,7655.0,19736.0,0,0,4019.0,1171.0,8861.0,0.0,4350.0
2008-1-11-15,2325264,1158,12738,5790,1771447.0,1747548,2001836.0,1981149,2564545,140369.0,143461.0,114667.0,12607.0,15699.0,792646,7589.0,18113.0,0,0,4530.0,766.0,6054.0,0.0,5516.0
2008-1-11-16,2536104,1263,13893,6315,2058038.0,2027043,2274339.0,2259652,2878481,154980.0,159589.0,126193.0,15694.0,20155.0,872410,8825.0,19993.0,0,2,4251.0,897.0,7574.0,36.0,8578.0
2008-1-11-17,2678672,1334,14674,6670,2305421.0,2275560,2531419.0,2510406,2958396,169052.0,174806.0,138365.0,14821.0,20381.0,954799,10014.0,20738.0,0,2,5020.0,1235.0,6046.0,0.0,8309.0
2008-1-11-18,2327272,1159,12749,5795,2119460.0,2094622,2320262.0,2298744,2462153,143162.0,148602.0,116918.0,11598.0,17038.0,803615,8428.0,17816.0,0,0,3462.0,659.0,3391.0,0.0,9494.0
2008-1-11-19,2319240,1155,12705,5775,2223835.0,2195099,2402252.0,2394973,2624584,135177.0,140194.0,108255.0,14279.0,19296.0,749120,7422.0,19500.0,0,0,4809.0,656.0,4365.0,27.0,9212.0
2008-1-11-2,6024,3,33,15,646.0,578,2210.0,2175,391,904.0,897.0,808.0,35.0,28.0,6762,25.0,71.0,0,0,17.0,0.0,0.0,0.0,6.0
2008-1-11-20,1740936,867,9537,4335,1759383.0,1731537,1816781.0,1828571,1911595,100958.0,106454.0,82839.0,11730.0,17086.0,575728,4989.0,13140.0,0,1,4025.0,536.0,2010.0,42.0,9179.0
2008-1-11-21,1540136,767,8437,3835,1630374.0,1603692,1491069.0,1577207,1601358,90383.0,93875.0,72837.0,13048.0,16362.0,517704,4503.0,13061.0,0,1,4912.0,676.0,1642.0,0.0,8046.0
2008-1-11-22,562240,280,3080,1400,623441.0,612301,388169.0,459291,558560,39708.0,41569.0,33508.0,4758.0,6620.0,265722,1538.0,4662.0,0,0,2113.0,476.0,627.0,0.0,3183.0
2008-1-11-23,261040,130,1430,650,303227.0,294282,56141.0,110201,134936,25454.0,26979.0,22686.0,3580.0,5105.0,194133,810.0,1958.0,0,0,2116.0,16.0,62.0,0.0,2560.0
2008-1-11-24,12048,6,66,30,4896.0,6951,2400.0,4472,7188,1024.0,1001.0,872.0,168.0,145.0,6746,47.0,105.0,0,0,22.0,0.0,21.0,0.0,135.0
2008-1-11-25,4016,2,22,10,50.0,2280,558.0,2794,2029,248.0,254.0,207.0,84.0,90.0,1653,9.0,32.0,0,0,0.0,0.0,0.0,0.0,87.0
2008-1-11-26,2008,1,11,5,26.0,30,538.0,608,878,192.0,218.0,175.0,-30.0,-4.0,1589,4.0,13.0,0,0,,,,,
2008-1-11-28,2008,1,11,5,28.0,2340,539.0,510,1212,191.0,210.0,179.0,29.0,48.0,1660,2.0,10.0,0,0,29.0,0.0,0.0,0.0,0.0
2008-1-11-3,6024,3,33,15,666.0,2670,2421.0,2061,904,835.0,831.0,766.0,240.0,236.0,6412,32.0,37.0,0,0,243.0,0.0,16.0,0.0,0.0
2008-1-11-30,4016,2,22,10,60.0,4514,1069.0,783,289,429.0,449.0,379.0,166.0,186.0,3255,12.0,38.0,0,0,0.0,0.0,0.0,0.0,166.0
2008-1-11-32,2008,1,11,5,32.0,35,605.0,610,514,213.0,215.0,188.0,-5.0,-3.0,1619,16.0,9.0,0,0,,,,,
2008-1-11-33,2008,1,11,5,33.0,2145,318.0,35,383,165.0,170.0,146.0,163.0,168.0,1076,2.0,17.0,0,0,0.0,0.0,0.0,0.0,163.0
2008-1-11-37,4016,2,22,10,74.0,2375,1162.0,1055,644,408.0,400.0,363.0,67.0,59.0,3153,9.0,36.0,0,0,0.0,0.0,0.0,0.0,58.0
2008-1-11-4,20080,10,110,50,4489.0,4805,6052.0,6028,21097,963.0,903.0,703.0,24.0,-36.0,4390,77.0,183.0,0,0,0.0,0.0,18.0,0.0,17.0
2008-1-11-40,8032,4,44,20,160.0,165,2074.0,2172,5247,694.0,747.0,615.0,-58.0,-5.0,5567,22.0,57.0,0,0,,,,,
2008-1-11-41,4016,2,22,10,82.0,2390,968.0,952,2583,346.0,382.0,309.0,16.0,52.0,2767,11.0,26.0,0,0,0.0,0.0,0.0,0.0,32.0
2008-1-11-42,2008,1,11,5,42.0,40,452.0,500,1650,130.0,140.0,115.0,-8.0,2.0,1055,5.0,10.0,0,0,,,,,
2008-1-11-44,2008,1,11,5,44.0,1855,342.0,2243,1085,178.0,228.0,155.0,299.0,349.0,1090,4.0,19.0,0,0,0.0,0.0,0.0,0.0,299.0
2008-1-11-47,4016,2,22,10,94.0,4714,1314.0,1134,548,460.0,460.0,421.0,100.0,100.0,3693,9.0,30.0,0,0,52.0,0.0,4.0,0.0,44.0
2008-1-11-48,2008,1,11,5,48.0,2230,158.0,2343,1492,70.0,73.0,47.0,135.0,138.0,236,4.0,19.0,0,0,135.0,0.0,0.0,0.0,0.0
2008-1-11-49,6024,3,33,15,147.0,2415,2063.0,1881,1248,696.0,686.0,637.0,102.0,92.0,5411,22.0,37.0,0,0,35.0,0.0,0.0,0.0,61.0
2008-1-11-5,853400,425,4675,2125,233212.0,247955,323031.0,330122,1108693,49419.0,50287.0,39644.0,-2763.0,-2263.0,263316,3169.0,6667.0,0,3,0.0,0.0,509.0,0.0,60.0
2008-1-11-51,4016,2,22,10,102.0,2405,1378.0,1351,1972,456.0,486.0,425.0,27.0,57.0,3915,10.0,21.0,0,0,0.0,0.0,0.0,0.0,45.0
2008-1-11-52,4016,2,22,10,104.0,110,1285.0,1359,1654,401.0,429.0,359.0,-34.0,-6.0,3325,13.0,29.0,0,0,,,,,
2008-1-11-53,2008,1,11,5,53.0,100,550.0,556,774,177.0,176.0,159.0,-6.0,-7.0,1300,6.0,12.0,0,0,,,,,
2008-1-11-55,2008,1,11,5,55.0,59,610.0,632,1799,195.0,213.0,174.0,-22.0,-4.0,1569,6.0,15.0,0,0,,,,,
2008-1-11-56,2008,1,11,5,56.0,40,621.0,605,362,205.0,205.0,180.0,16.0,16.0,1589,14.0,11.0,0,0,0.0,0.0,0.0,0.0,16.0
