DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-9-19-2,18036,81,171,63,1810.0,10180,4784.0,6302,4064,1574.0,1682,1426.0,562.0,670.0,11365,50,98,0,0,205,0,9,0,421
2004-9-19-20,1907808,8568,18088,6664,1926931.0,1909330,2023152.0,2030506,2060303,103321.0,106296,81690.0,8595.0,11241.0,584451,6641,14425,0,1,3218,161,2331,25,5656
2004-9-19-21,1344684,6039,12749,4697,1426334.0,1409624,1330720.0,1374066,1370713,76946.0,78322,63248.0,8494.0,9870.0,460301,5139,9394,0,0,2520,0,1552,11,5638
2004-9-19-22,729456,3276,6916,2548,807561.0,795226,614448.0,657245,684158,42494.0,43699,34241.0,6340.0,7175.0,271325,3313,5146,0,2,2357,0,718,0,3808
2004-9-19-23,278556,1251,2641,973,321073.0,317104,89474.0,123293,327626,20701.0,21489,11592.0,2821.0,3609.0,148754,7990,1897,0,0,1198,55,201,147,1650
2004-9-19-24,14028,63,133,49,9716.0,14006,8384.0,5660,19842,548.0,614,-3882.0,164.0,230.0,3358,4351,79,0,0,89,0,73,0,0
2004-9-19-25,6012,27,57,21,2560.0,4670,3288.0,5419,10238,388.0,409,-1110.0,149.0,170.0,2634,1460,38,0,0,153,0,0,0,0
2004-9-19-26,4008,18,38,14,52.0,2389,768.0,736,2296,316.0,307,277.0,32.0,23.0,2132,7,32,0,0,19,0,0,0,6
2004-9-19-28,4008,18,38,14,56.0,4713,865.0,771,685,309.0,318,275.0,54.0,63.0,2286,7,27,0,0,25,0,0,0,29
2004-9-19-3,4008,18,38,14,6.0,2367,1298.0,1405,212,512.0,538,651.0,-27.0,-1.0,4163,7,34,0,0,0,0,0,0,0
2004-9-19-30,2004,9,19,7,30.0,40,556.0,606,1743,206.0,206,187.0,-10.0,-10.0,1635,5,14,0,0,0,0,0,0,0
2004-9-19-31,4008,18,38,14,62.0,2356,868.0,706,1227,366.0,350,307.0,82.0,66.0,2531,12,47,0,0,6,0,26,0,50
2004-9-19-33,2004,9,19,7,33.0,35,818.0,835,322,285.0,300,446.0,-17.0,-2.0,2358,7,12,0,0,0,0,0,0,0
